transaction_id,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T60,2025-08-24,C215,Nicholas Perez,CA,P184,Clothing,3,268.34,Credit Card,Completed
T61,2025-11-08,C42,Rhonda Cooper,UK,P171,Sports,4,241.27,Debit Card,Returned
T62,2026-07-04,C46,Mrs. Kristin Rodriguez,US,P106,Books,1,77.65,PayPal,Returned
T63,2026-05-30,C195,Jessica Murray,AU,P116,Electronics,2,317.51,Credit Card,Completed
T64,2025-10-30,C148,John Turner,UK,P47,Clothing,4,240.78,PayPal,Cancelled
T65,2025-11-06,C152,Daniel Woods,AU,P65,Sports,5,165.31,PayPal,Cancelled
T66,2025-09-11,C296,Amanda Lewis,CA,P4,Clothing,1,197.68,UPI,Cancelled
T67,2025-12-21,C159,Jeremy Jones,AU,P130,Clothing,3,452.86,Debit Card,Completed
T68,2026-01-05,C122,Michael Armstrong,DE,P94,Electronics,3,379.01,UPI,Completed
T69,2026-02-07,C126,Phyllis Byrd,DE,P134,Home,2,234.54,UPI,Returned
T70,2026-04-21,C116,Alejandra Wise,DE,P122,Clothing,5,383.42,Debit Card,Cancelled
T71,2026-07-11,C233,Alex Kirby,IN,P62,Sports,2,134.27,Credit Card,Completed
T72,2026-01-17,C286,Bob Martin,UK,P122,Books,4,394.44,Debit Card,Cancelled
T73,2026-04-17,C226,Thomas Gomez,CA,P102,Electronics,2,50.77,UPI,Returned
T74,2026-07-06,C79,Gary Fleming,FR,P96,Home,2,258.13,Credit Card,Returned
T75,2025-12-19,C173,Kelly Peterson,FR,P105,Home,4,206.55,UPI,Returned
T76,2026-04-06,C71,Joseph Short,FR,P6,Books,5,44.41,Credit Card,Returned
T77,2026-04-19,C171,Theodore Lewis,XYZ,P156,Books,5,156.1,Credit Card,Completed
T78,2026-08-05,C296,Christine Sanchez,IN,P27,Books,4,219.62,Credit Card,Returned
T79,2025-09-06,C77,Mr. Devin Waters,AU,P114,Home,1,136.05,Debit Card,Completed
T80,2025-11-05,C34,Daniel Taylor,UK,P112,Home,1,289.16,Debit Card,Cancelled
T81,2026-08-11,C224,Eric Kennedy,DE,P175,Books,4,106.93,UPI,Returned
T82,2025-11-14,C3,Heather Wells,FR,P58,Electronics,1,278.94,Debit Card,Completed
T83,2026-05-19,C77,Mark Murphy,AU,P164,Electronics,2,119.94,Debit Card,Cancelled
T84,2026-05-05,C65,Robert Carter,DE,P81,Books,4,197.62,Debit Card,Returned
T85,2025-12-25,C264,Alexandria Morgan,CA,P70,Sports,1,183.97,UPI,Returned
T86,2026-05-07,C91,Ryan Brewer,CA,P147,Sports,5,396.31,Credit Card,Returned
T87,2026-06-23,C22,Dr. Abigail Oconnor,CA,P68,Electronics,4,185.03,UPI,Completed
T88,2026-02-04,C186,Mckenzie Mckinney,DE,P89,Clothing,3,481.11,PayPal,Cancelled
T89,2026-03-23,C93,Monica White,DE,P168,Home,3,208.05,Credit Card,Returned
T90,2025-11-26,C239,Christopher Cunningham,AU,P196,Clothing,1,314.37,UPI,Returned
T91,2025-09-23,C55,Ryan Fernandez,FR,P104,Sports,5,399.07,Credit Card,Returned
T92,2026-07-19,C127,Alex Shaw,CA,P33,Books,2,78.8,PayPal,Cancelled
T93,2025-10-17,C125,Christian Clark,IN,P156,Clothing,3,158.43,UPI,Cancelled
T94,2025-12-20,C166,Brenda Mckenzie,FR,P88,Clothing,5,417.93,Debit Card,Cancelled
T95,2026-03-04,C287,Garrett Reed,US,P114,Books,5,32.0,UPI,Returned
T96,2026-01-06,C128,James Herring,FR,P4,Books,4,339.12,UPI,Returned
T97,2026-02-17,C296,Michael Grimes,DE,P97,Sports,1,179.55,PayPal,Completed
T98,2026-05-07,C34,Juan Torres,UK,P11,Sports,4,196.04,Debit Card,Cancelled
T99,2026-04-13,C229,Kerry Cummings,AU,P192,Home,4,121.68,PayPal,Cancelled
T100,2026-03-04,C159,Melissa Ramsey,CA,P62,Books,4,495.98,PayPal,Completed
T101,2026-03-11,C2,Tracy Wallace,FR,P114,Sports,5,78.21,UPI,Cancelled
T102,2026-04-28,C297,Russell Bowers,FR,P149,Sports,3,266.54,Credit Card,Completed
T103,2026-04-21,C34,Roy Garner,FR,P92,Books,5,366.03,PayPal,Cancelled
T104,2026-07-13,C290,Amanda Buchanan,UK,P185,Home,2,276.64,PayPal,Cancelled
T105,2026-06-04,C93,Tammy Young,US,P166,Clothing,4,360.67,UPI,Cancelled
T106,2026-03-03,C242,Anthony Rodriguez,US,P175,Electronics,1,175.94,Credit Card,Completed
T107,2026-06-20,C156,Benjamin Marquez,US,P140,Clothing,2,41.77,PayPal,Cancelled
T108,2025-10-27,C297,Richard White,FR,P169,Sports,4,97.31,UPI,Returned
T109,2025-10-15,C85,Steven Oliver,UK,P151,Books,5,450.46,Credit Card,Returned
T110,2026-06-06,C53,Richard Rosales,DE,P68,Home,3,197.25,Credit Card,Returned
T111,2026-01-25,C202,Casey Chavez,CA,P46,Home,3,432.22,Debit Card,Cancelled
T112,2025-09-11,C14,Rebecca Zamora,US,P131,Books,2,204.55,Credit Card,Cancelled
T113,2025-09-14,C126,Michelle Wilson,AU,P161,Books,4,44.31,Debit Card,Completed
T114,2025-11-04,C119,Cynthia Young,US,P103,Sports,4,119.15,UPI,Returned
T115,2026-02-21,C50,Megan Cooper MD,UK,P22,Books,4,364.02,PayPal,Returned
T116,2025-08-15,C76,Roy Graham,UK,P22,Clothing,1,415.84,Debit Card,Cancelled
T117,2025-10-17,C229,Ashley Rodriguez,XYZ,P189,Home,4,145.91,Credit Card,Cancelled
T118,2025-09-15,C116,Randy Strickland,CA,P152,Clothing,5,85.19,Debit Card,Cancelled
T119,2026-03-09,C14,Morgan Valdez,XYZ,P71,Home,3,433.38,Debit Card,Completed
T120,2025-12-21,C39,Joseph Taylor,US,P114,Clothing,5,63.69,UPI,Returned
T121,2025-10-06,C261,Caitlin Wright,FR,P133,Clothing,5,447.99,Credit Card,Returned
T122,2025-12-28,C55,Shari Williams,FR,P88,Books,5,54.66,Debit Card,Returned
T123,2026-05-07,C229,Amanda Stephens,CA,P186,Sports,3,267.74,Debit Card,Cancelled
T124,2025-10-25,C78,Donald Cortez,IN,P194,Books,5,135.92,Debit Card,Returned
T125,2025-11-24,C196,Alexis Huffman,UK,P5,Clothing,3,264.12,Credit Card,Completed
T126,2026-04-07,C298,Christine Ewing,CA,P21,Sports,1,258.06,UPI,Cancelled
T127,2025-11-12,C156,Kathleen Richard,UK,P15,Sports,1,293.08,PayPal,Cancelled
T128,2026-02-11,C212,Steven Galloway,US,P71,Sports,1,213.38,Credit Card,Cancelled
T129,2025-11-01,C188,Melanie Perez,FR,P129,Electronics,4,332.62,Debit Card,Cancelled
T130,2026-07-28,C1,Dana Walker,FR,P184,Sports,1,277.7,PayPal,Returned
T131,2026-02-09,C103,Jared Salinas,US,P94,Sports,2,368.38,Debit Card,Cancelled
T132,2025-12-15,C21,Jamie Mckenzie,IN,P185,Sports,2,257.28,Debit Card,Cancelled
T133,2025-11-07,C91,Eric Kane,DE,P47,Books,4,162.33,PayPal,Returned
T134,2026-05-04,C22,Margaret Rodriguez,FR,P195,Clothing,1,487.85,Credit Card,Completed
T135,2025-09-01,C103,Lee Willis,IN,P30,Electronics,2,83.89,Credit Card,Completed
T136,2026-02-22,C267,Dennis Perkins,UK,P174,Books,5,86.83,UPI,Cancelled
T137,2026-03-12,C224,Richard Burton,US,P8,Books,2,210.31,Credit Card,Cancelled
T138,2025-12-22,C248,Henry Mcclain,DE,P168,Electronics,3,60.91,UPI,Returned
T139,2026-07-26,C284,Amanda Swanson,UK,P152,Books,2,29.03,UPI,Cancelled
T140,2026-02-03,C240,Tammy Morris,AU,P1,Home,2,277.74,UPI,Cancelled
T141,2026-05-16,C37,Rebecca Williams,US,P169,Books,4,327.99,UPI,Returned
T142,2026-06-29,C253,Sarah Thomas,US,P52,Books,5,16.2,Debit Card,Completed
T143,2026-03-24,C198,Katrina Foster,DE,P146,Books,5,357.56,PayPal,Returned
T144,2025-10-09,,Lydia Lee,IN,P38,Home,2,442.05,Debit Card,Returned
T145,2026-07-02,C87,Lori King,FR,P135,Sports,4,402.78,Debit Card,Completed
T146,2026-05-11,C65,Donna Dickerson,FR,P150,Books,3,90.19,UPI,Completed
T147,2026-02-22,C59,Tiffany White,AU,P118,Sports,2,384.08,Debit Card,Returned
T148,2025-11-25,C269,Jennifer Smith,CA,P159,Clothing,4,310.39,UPI,Cancelled
T149,2026-07-15,C158,Kayla Cuevas,UK,P102,Electronics,2,221.93,PayPal,Cancelled
T150,2026-04-24,C22,Catherine Barnett,IN,P61,Electronics,4,225.53,UPI,Returned
T151,2025-11-02,C274,Don Luna,CA,P187,Home,-5,346.71,Debit Card,Returned
T152,2025-12-15,C243,Catherine Morton,CA,P120,Home,5,31.12,UPI,Cancelled
T153,2025-08-19,C26,Jerry Thomas,IN,P92,Sports,2,374.63,PayPal,Cancelled
T154,2026-02-22,C268,Nicholas Stewart,DE,P76,Clothing,5,395.01,UPI,Completed
T155,2026-01-17,C223,Angela Perez,IN,P142,Sports,1,438.29,PayPal,Returned
T156,2026-02-25,C40,Christine Melendez,US,P104,Clothing,1,77.9,Debit Card,Completed
T157,2025-09-26,C41,Michael Green,IN,P141,Books,1,33.23,Credit Card,Completed
T158,2025-11-09,C191,Patricia Parks,UK,P160,Books,5,135.19,UPI,Returned
T159,2025-09-08,C101,William Pierce,FR,P52,Home,4,420.2,Debit Card,Returned
T160,2026-01-08,C47,Kevin Logan,AU,P10,Electronics,3,397.6,PayPal,Cancelled
T161,2026-01-19,C254,Sergio Williams,US,P60,Electronics,1,476.57,UPI,Completed
T162,2026-07-17,C177,Stephanie Kelly,UK,P97,Sports,2,464.34,UPI,Returned
T163,2026-01-01,C172,Matthew Baker,IN,P150,Home,2,296.86,Debit Card,Returned
T164,2025-11-08,C139,John Braun,IN,P14,Home,3,445.67,PayPal,Returned
T165,2026-03-04,C82,Wyatt Hayden,UK,P63,Home,1,246.78,PayPal,Completed
T166,2026-01-03,C103,Marie Williams,IN,P135,Clothing,4,302.87,UPI,Returned
T167,2026-01-21,C75,Robert Mcdonald,DE,P176,Home,5,199.06,PayPal,Returned
T168,2026-07-11,C134,Amy Ibarra,IN,P103,Home,4,293.0,UPI,Completed
T169,2026-06-09,C103,Gregory Gonzalez,US,P132,Clothing,1,401.23,PayPal,Returned
T170,2025-08-27,C213,Theresa Cooley,DE,P34,Sports,3,470.51,PayPal,Completed
T171,2026-02-23,C212,Mrs. Samantha Erickson,DE,P60,Electronics,3,314.75,PayPal,Cancelled
T172,2026-07-20,C296,Christopher Reynolds,AU,P117,Home,4,333.11,PayPal,Completed
T173,2025-12-23,C79,Erin Crane,US,P13,Home,4,53.33,Credit Card,Completed
T174,2026-08-02,C110,Amber Williams,IN,P121,Electronics,3,472.2,PayPal,Returned
T175,2025-10-06,C150,Jason Hawkins,FR,P199,Electronics,5,310.41,Debit Card,Completed
T176,2025-11-14,C44,Kenneth Hanson,IN,P22,Sports,4,358.83,Credit Card,Returned
T177,2026-08-08,C8,Deborah Mitchell,UK,P65,Clothing,5,45.93,UPI,Cancelled
T178,2025-08-18,C158,Michael White,FR,P198,Home,2,143.74,Debit Card,Cancelled
T179,2026-08-01,C34,Matthew Meyers,IN,P64,Sports,3,117.4,Credit Card,Cancelled
T180,2025-11-23,C114,Cynthia Martin,US,P110,Clothing,2,31.14,Debit Card,Returned
T181,2026-03-22,C286,Vanessa Williams,IN,P52,Sports,3,29.88,UPI,Returned
T182,2026-02-13,C164,Tracy Williams,DE,P155,Books,4,58.93,Debit Card,Returned
T183,2025-09-28,C5,Anne Wells,US,P185,Books,2,126.7,Debit Card,Completed
T184,2026-09-13 13:55:40.225426,,Patrick Smith,IN,P192,Books,5,275.92,UPI,Returned
T185,2026-01-26,C106,Ethan Pollard,CA,P86,Books,5,144.32,Credit Card,Cancelled
T186,2025-12-24,C138,Travis Newton,AU,P2,Clothing,5,149.41,Debit Card,Cancelled
T187,2025-10-26,C127,Joshua Rodriguez,AU,P53,Sports,2,220.89,Debit Card,Completed
T188,2025-12-31,C72,Timothy Robinson,UK,P115,Home,2,355.02,PayPal,Cancelled
T189,2026-07-14,C170,Richard Stewart,AU,P64,Sports,3,334.48,UPI,Completed
T190,2025-11-19,C154,Tara Johnson,IN,P9,Clothing,1,15.57,PayPal,Cancelled
T191,2025-08-25,C286,Adam Hernandez,FR,P171,Electronics,2,176.48,UPI,Cancelled
T192,2026-01-11,C110,Michael Davies,AU,P102,Clothing,2,163.86,Debit Card,Completed
T193,2026-03-15,C49,Kristin Wagner,DE,P21,Sports,1,224.54,UPI,Completed
T194,2026-04-12,C144,Rebecca Shannon,CA,P137,Electronics,3,154.33,Credit Card,Returned
T195,2025-12-22,C297,Michaela Carney,FR,P89,Home,1,230.32,UPI,Returned
T196,2026-01-06,C201,Meagan Larsen,AU,P110,Clothing,1,114.99,Debit Card,Returned
T197,2026-04-03,C25,Tina Baker,US,P173,Electronics,5,398.26,Credit Card,Returned
T198,2026-04-06,C86,Sarah Reeves,CA,P21,Sports,2,95.38,UPI,Completed
T199,2026-07-09,C146,Maria Miller,IN,P62,Books,1,39.39,Debit Card,Returned
T200,2026-07-15,C66,Samantha Wilson,DE,P153,Books,4,292.19,Debit Card,Returned
T201,2025-08-15,C107,Elizabeth Savage,AU,P60,Sports,2,108.1,Credit Card,Cancelled
T202,2026-05-09,C142,Rachel Horton,AU,P200,Electronics,3,135.36,UPI,Returned
T203,2025-12-25,C11,Michele Morgan,UK,P22,Clothing,4,24.27,Credit Card,Completed
T204,2026-06-26,C12,Joshua Patrick,UK,P148,Home,4,165.44,Credit Card,Returned
T205,2025-12-03,C192,Christopher Miller,CA,P196,Home,2,10.26,UPI,Cancelled
T206,2025-10-31,C175,Christina Carter,FR,P107,Sports,5,58.95,Debit Card,Returned
T207,2026-08-01,C13,Mr. Micheal Gonzales MD,DE,P55,Electronics,4,479.97,UPI,Cancelled
T208,2025-11-13,C241,Alyssa Hernandez,US,P95,Sports,2,273.88,Credit Card,Returned
T209,2026-06-06,C233,Rhonda Newton,UK,P137,Sports,5,114.42,Debit Card,Completed
T210,2025-10-23,C251,John Martin,FR,P128,Clothing,4,77.12,Credit Card,Returned
T211,2026-02-15,C108,Kathryn Mason,DE,P182,Clothing,5,174.48,UPI,Completed
T212,2026-02-27,C56,Randy Sanders,DE,P150,Electronics,2,281.16,PayPal,Completed
T213,2026-06-08,C101,Karina Wilson,US,P164,Clothing,2,493.02,UPI,Cancelled
T214,2025-12-03,C75,Jessica Valdez,IN,P25,Electronics,3,202.66,Credit Card,Cancelled
T215,2025-10-17,C13,Derrick Shelton,IN,P126,Books,1,378.99,PayPal,Completed
T216,2025-10-12,C179,Ivan Taylor,AU,P108,Home,5,40.17,Credit Card,Cancelled
T217,2026-05-19,C141,Donna Jenkins,US,P185,Clothing,4,87.98,Credit Card,Returned
T218,2026-03-29,C7,Zachary Garcia,FR,P60,Home,5,180.07,PayPal,Completed
T219,2025-12-22,C217,James Chan,UK,P122,Sports,4,183.36,PayPal,Returned
T220,2026-03-29,C21,Julian Martin,DE,P58,Clothing,2,439.12,Credit Card,Returned
T221,2026-01-30,C240,Lori Yoder,AU,P195,Home,2,46.98,Credit Card,Returned
T222,2026-01-28,C255,Elizabeth Allen,UK,P66,Sports,5,216.2,Debit Card,Returned
T223,2025-10-26,C158,Evan Johnson,IN,P192,Clothing,2,211.2,UPI,Cancelled
T224,2026-04-19,C281,Robin Wilson,FR,P145,Books,5,476.25,PayPal,Completed
T225,2025-11-23,C100,Alan Patterson,IN,P194,Electronics,1,329.93,UPI,Completed
T226,2025-12-26,C204,Karen Wong,CA,P149,Home,1,360.58,PayPal,Completed
T227,2026-08-05,C68,Adam Harris,US,P152,Electronics,4,449.03,Credit Card,Returned
T228,2026-05-28,C41,Samantha Turner,FR,P173,Books,5,482.57,UPI,Returned
T229,2025-12-29,C42,Kathleen Shepherd,US,P55,Electronics,4,96.93,UPI,Completed
T230,2026-03-01,C193,Kellie Robinson,DE,P94,Home,3,278.99,PayPal,Cancelled
T231,2026-07-03,C99,Sean Anderson,AU,P186,Sports,5,60.14,PayPal,Cancelled
T1,2025-11-28,C113,Alan Quinn,AU,P66,Electronics,1,181.58,Debit Card,Returned
T233,2025-09-21,C125,Tara Kane,XYZ,P113,Clothing,2,294.59,UPI,Completed
T234,2026-06-28,C260,Maureen Frank,US,P100,Electronics,3,19.35,PayPal,Completed
T235,2026-01-20,C284,Stephen Bush,FR,P109,Electronics,3,101.39,Debit Card,Cancelled
T236,2026-05-26,C34,Jason May,US,P15,Clothing,5,359.9,Debit Card,Returned
T237,2025-08-15,C201,Samuel Joseph,UK,P113,Books,3,370.15,Credit Card,Returned
T238,2026-08-13,C131,Donna Gonzalez,AU,P110,Clothing,3,357.41,Debit Card,Completed
T239,2025-09-14,C234,Kathryn Mcknight,IN,P2,Home,2,80.1,Credit Card,Completed
T240,2025-10-21,C126,Bryce Ruiz,UK,P82,Electronics,1,350.29,UPI,Cancelled
T241,2026-01-13,C55,Jerry Edwards,UK,P136,Home,3,306.82,Credit Card,Returned
T242,2026-07-13,C245,Alexandra Maldonado,IN,P188,Books,2,130.19,Debit Card,Completed
T243,2026-01-10,C116,Daniel Liu,UK,P153,Home,2,253.17,Credit Card,Returned
T244,2026-02-11,C1,Jason Hampton,CA,P191,Home,2,186.52,Debit Card,Cancelled
T245,2025-12-12,C259,Amy Williams,AU,P21,Books,5,376.12,Debit Card,Completed
T246,2026-04-01,C117,Sarah Ware,US,P27,Home,1,133.05,Debit Card,Cancelled
T247,2026-05-07,C64,Bryan Johnson,DE,P176,Clothing,3,131.81,PayPal,Cancelled
T248,2026-01-06,C106,Melinda Ruiz,DE,P67,Electronics,2,292.94,Debit Card,Completed
T249,2025-10-11,C122,Matthew Wright,US,P200,Electronics,1,269.66,PayPal,Completed
T250,2026-04-27,C108,Steve Ayala,UK,P97,Sports,5,102.49,PayPal,Returned
T251,2025-09-12,C81,Linda Pierce,UK,P103,Books,1,383.11,UPI,Returned
T252,2026-03-21,C159,Brandi Park,DE,P46,Home,4,173.97,Credit Card,Completed
T253,2025-08-25,C219,Marie Gay,UK,P71,Clothing,1,351.82,Debit Card,Returned
T254,2026-08-01,C16,Peter Liu,US,P126,Home,3,111.58,UPI,Returned
T255,2026-05-09,C127,Marissa Guerrero,FR,P62,Books,1,316.55,UPI,Returned
T256,2025-11-11,C211,Michael Mendoza,IN,P145,Books,1,306.99,Credit Card,Cancelled
T257,2026-02-27,C7,Jose Marshall,DE,P164,Sports,5,252.64,PayPal,Cancelled
T258,2025-10-19,C41,Daniel Brock,DE,P45,Books,2,485.06,UPI,Cancelled
T259,2026-02-09,C137,Nicole Wyatt,CA,P86,Electronics,1,20.89,UPI,Returned
T260,2026-07-04,C182,Joyce Wilkinson,AU,P47,Sports,2,233.4,PayPal,Cancelled
T261,2026-05-07,C109,Barbara Riley,CA,P181,Books,2,24.18,Debit Card,Completed
T262,2026-07-12,C146,Steven Wilson,CA,P183,Books,5,467.96,UPI,Cancelled
T263,2025-12-10,C157,Nancy Kelley,FR,P88,Clothing,2,369.94,Credit Card,Returned
T1,2026-04-24,C113,Dr. Kristin Mann MD,US,P28,Electronics,3,329.5,UPI,Cancelled
T265,2026-02-19,C93,Erica Williams DVM,CA,P151,Books,3,114.25,PayPal,Returned
T266,2026-03-09,C77,Michael Newman,US,P146,Books,5,420.19,UPI,Cancelled
T267,2026-07-16,C36,Brittany Brown,IN,P79,Home,3,157.91,PayPal,Cancelled
T268,2026-07-01,C58,Michael Morton,AU,P9,Sports,4,397.39,PayPal,Returned
T269,2026-03-10,C60,Barbara Kaiser,FR,P35,Books,5,382.28,PayPal,Cancelled
T270,2026-01-09,C79,Christopher Gross,CA,P2,Sports,5,309.9,UPI,Completed
T271,2026-02-06,C249,Jerry Flores,DE,P117,Books,3,153.74,Debit Card,Returned
T272,2026-04-01,C103,Andrea Rush,UK,P99,Home,4,29.65,UPI,Completed
T273,2025-10-29,C294,Jordan Hall,IN,P102,Sports,4,72.26,Debit Card,Returned
T274,2026-01-13,C233,Timothy Carpenter,AU,P138,Electronics,3,119.07,Debit Card,Cancelled
T275,2026-04-04,C164,Tracy Douglas,US,P112,Clothing,3,98.45,UPI,Completed
T276,2025-11-24,C28,Jeffery Olson,US,P80,Home,2,127.2,Credit Card,Returned
T277,2026-06-06,C146,Sherri Torres,DE,P116,Sports,5,273.92,Credit Card,Returned
T278,2026-02-17,C119,Paul Stokes,IN,P105,Electronics,2,60.01,Debit Card,Completed
T279,2026-06-07,C137,Charles Gibson,CA,P14,Books,5,192.16,UPI,Cancelled
T280,2025-12-21,C197,Zachary Wilson,CA,P74,Sports,5,387.21,Credit Card,Returned
T281,2026-07-22,C249,Margaret Frank,US,P132,Sports,5,405.74,PayPal,Cancelled
T282,2025-11-11,C82,Christopher Andrews,US,P134,Clothing,2,80.92,UPI,Cancelled
T283,2025-11-06,C282,Cassie Bush,IN,P139,Sports,1,462.85,PayPal,Returned
T284,2025-11-10,C76,Luis Moore,UK,P162,Clothing,2,490.59,Debit Card,Completed
T285,2025-11-04,C197,Julie Bryant,IN,P75,Clothing,4,497.6,PayPal,Returned
T286,2026-08-03,C93,Sandra Padilla,AU,P186,Home,5,224.89,Credit Card,Returned
T287,2026-01-04,C71,Mary Tran,US,P104,Electronics,5,466.76,Debit Card,Returned
T288,2026-05-12,C39,Beth Torres,FR,P142,Home,3,335.07,Credit Card,Cancelled
T289,2026-06-05,C237,Brandon Snyder,CA,P191,Electronics,5,184.2,Debit Card,Completed
T290,2026-05-15,C297,John White MD,CA,P199,Home,5,375.75,PayPal,Returned
T291,2025-08-20,C69,Brandon Ward,IN,P45,Books,3,469.24,UPI,Returned
T292,2025-09-21,C244,Karen Snyder,FR,P109,Books,5,27.63,UPI,Completed
T293,2025-12-03,C229,Katrina Lane,FR,P82,Clothing,1,213.99,PayPal,Completed
T294,2026-09-13 13:55:40.225983,C141,Raven Cruz,DE,P133,Home,3,437.06,Debit Card,Completed
